NOME_SALA;REGISTRO_SALA;CNPJ_SALA;SITUACAO_SALA;QUANTIDADE_ASSENTOS;NOME_COMPLEXO;REGISTRO_COMPLEXO;PAGINA_ELETRONICA_COMPLEXO;ENDERECO_COMPLEXO;NUMERO_ENDERECO_COMPLEXO;COMPLEMENTO_ENDERECO;BAIRRO_COMPLEXO;MUNICIPIO_COMPLEXO;CODIGO_MUNICPIO_IBGE;UF_COMPLEXO;COMPLEXO_ITINERANTE;OPERACAO_USUAL;EXIBIDOR;REGISTRO_EXIBIDOR;CNPJ_EXIBIDOR;SITUACAO_EXIBIDOR;GRUPO_EXIBIDOR
CINE SEGALL;5004892;60.262.086/0001-52;FECHADO TEMPORARIAMENTE;80;CINE SEGALL;27882;www.museusegall.org.br;Rua Berta;111;;Vila Mariana;SÃO PAULO;3550308;SP;NÃO;COMERCIAL;ACAMLS - ASSOCIAÇÃO CULTURAL DE AMIGOS DO MUSEU LASAR SEGALL;27880;60.262.086/0001-52;REGULAR;NAO PERTENCE A NENHUM GRUPO EXIBIDOR
CINESERCLA NILÓPOLIS SQUARE SALA 01;5002318;03.879.383/0004-50;EM FUNCIONAMENTO;171;CINESERCLA NILÓPOLIS;14061;;RUA PROFESSOR ALFREDO GONÇALVES FILGUEIRAS Nº 100;100;LOJAS 327 E 328 ;CENTRO;NILÓPOLIS;3303203;RJ;NÃO;COMERCIAL;ADICINE ADMINISTRADORA DE CINEMAS EIRELI-EPP;13977;03.879.383/0001-08;REGULAR;ADICINE
CINESERCLA NILÓPOLIS SQUARE SALA 02;5002319;03.879.383/0004-50;EM FUNCIONAMENTO;106;CINESERCLA NILÓPOLIS;14061;;RUA PROFESSOR ALFREDO GONÇALVES FILGUEIRAS Nº 100;100;LOJAS 327 E 328 ;CENTRO;NILÓPOLIS;3303203;RJ;NÃO;COMERCIAL;ADICINE ADMINISTRADORA DE CINEMAS EIRELI-EPP;13977;03.879.383/0001-08;REGULAR;ADICINE
CINESERCLA NILÓPOLIS SQUARE SALA 03;5002317;03.879.383/0004-50;EM FUNCIONAMENTO;130;CINESERCLA NILÓPOLIS;14061;;RUA PROFESSOR ALFREDO GONÇALVES FILGUEIRAS Nº 100;100;LOJAS 327 E 328 ;CENTRO;NILÓPOLIS;3303203;RJ;NÃO;COMERCIAL;ADICINE ADMINISTRADORA DE CINEMAS EIRELI-EPP;13977;03.879.383/0001-08;REGULAR;ADICINE
CINESERCLA PÁTIO ITAGUAÍ SALA 01;5003016;03.879.383/0003-70;EM FUNCIONAMENTO;114;CINESERCLA PÁTIO MIX ITAGUAI;18367;;RUA RODOVIA RIO SANTOS S/N° LOTE B;0;LOJA 1061;ZONA INDUSTRIAL;ITAGUAÍ;3302007;RJ;NÃO;COMERCIAL;ADICINE ADMINISTRADORA DE CINEMAS EIRELI-EPP;13977;03.879.383/0001-08;REGULAR;ADICINE
CINESERCLA PÁTIO ITAGUAÍ SALA 02;5003018;03.879.383/0003-70;EM FUNCIONAMENTO;164;CINESERCLA PÁTIO MIX ITAGUAI;18367;;RUA RODOVIA RIO SANTOS S/N° LOTE B;0;LOJA 1061;ZONA INDUSTRIAL;ITAGUAÍ;3302007;RJ;NÃO;COMERCIAL;ADICINE ADMINISTRADORA DE CINEMAS EIRELI-EPP;13977;03.879.383/0001-08;REGULAR;ADICINE
CINESERCLA PÁTIO ITAGUAÍ SALA 03;5003015;03.879.383/0003-70;FECHADO TEMPORARIAMENTE;168;CINESERCLA PÁTIO MIX ITAGUAI;18367;;RUA RODOVIA RIO SANTOS S/N° LOTE B;0;LOJA 1061;ZONA INDUSTRIAL;ITAGUAÍ;3302007;RJ;NÃO;COMERCIAL;ADICINE ADMINISTRADORA DE CINEMAS EIRELI-EPP;13977;03.879.383/0001-08;REGULAR;ADICINE
CINESERCLA PÁTIO ITAGUAÍ SALA 04;5003017;03.879.383/0003-70;EM FUNCIONAMENTO;116;CINESERCLA PÁTIO MIX ITAGUAI;18367;;RUA RODOVIA RIO SANTOS S/N° LOTE B;0;LOJA 1061;ZONA INDUSTRIAL;ITAGUAÍ;3302007;RJ;NÃO;COMERCIAL;ADICINE ADMINISTRADORA DE CINEMAS EIRELI-EPP;13977;03.879.383/0001-08;REGULAR;ADICINE
CINESERCLA SHOPPING MONTSERRAT SALA 01;5004768;03.879.383/0005-31;EM FUNCIONAMENTO;225;CINESERCLA SHOPPING MONTSERRAT;27434;;Avenida Eldes Scherrer de Souza;2162;loja 303 C;Colina de Laranjeiras;SERRA;3205002;ES;NÃO;COMERCIAL;ADICINE ADMINISTRADORA DE CINEMAS EIRELI-EPP;13977;03.879.383/0001-08;REGULAR;ADICINE
CINESERCLA SHOPPING MONTSERRAT SALA 02;5004764;03.879.383/0005-31;EM FUNCIONAMENTO;263;CINESERCLA SHOPPING MONTSERRAT;27434;;Avenida Eldes Scherrer de Souza;2162;loja 303 C;Colina de Laranjeiras;SERRA;3205002;ES;NÃO;COMERCIAL;ADICINE ADMINISTRADORA DE CINEMAS EIRELI-EPP;13977;03.879.383/0001-08;REGULAR;ADICINE
CINESERCLA SHOPPING MONTSERRAT SALA 03;5004767;03.879.383/0005-31;FECHADO TEMPORARIAMENTE;159;CINESERCLA SHOPPING MONTSERRAT;27434;;Avenida Eldes Scherrer de Souza;2162;loja 303 C;Colina de Laranjeiras;SERRA;3205002;ES;NÃO;COMERCIAL;ADICINE ADMINISTRADORA DE CINEMAS EIRELI-EPP;13977;03.879.383/0001-08;REGULAR;ADICINE
CINESERCLA SHOPPING MONTSERRAT SALA 04;5004765;03.879.383/0005-31;EM FUNCIONAMENTO;173;CINESERCLA SHOPPING MONTSERRAT;27434;;Avenida Eldes Scherrer de Souza;2162;loja 303 C;Colina de Laranjeiras;SERRA;3205002;ES;NÃO;COMERCIAL;ADICINE ADMINISTRADORA DE CINEMAS EIRELI-EPP;13977;03.879.383/0001-08;REGULAR;ADICINE
CINESERCLA SHOPPING MONTSERRAT SALA 05;5004766;03.879.383/0005-31;EM FUNCIONAMENTO;157;CINESERCLA SHOPPING MONTSERRAT;27434;;Avenida Eldes Scherrer de Souza;2162;loja 303 C;Colina de Laranjeiras;SERRA;3205002;ES;NÃO;COMERCIAL;ADICINE ADMINISTRADORA DE CINEMAS EIRELI-EPP;13977;03.879.383/0001-08;REGULAR;ADICINE
CINESERCLA TEIXEIRA DE FREITAS SALA 01;5004949;03.879.383/0002-99;EM FUNCIONAMENTO;118;CINESERCLA TEIXEIRA DE FREITAS;28475;www.cinesercla.com.br;AVENIDA SÃO PAULO;2575;LJ 1024-CINEMA;VILA VERDE;TEIXEIRA DE FREITAS;2931350;BA;NÃO;COMERCIAL;ADICINE ADMINISTRADORA DE CINEMAS EIRELI-EPP;13977;03.879.383/0001-08;REGULAR;ADICINE
CINESERCLA TEIXEIRA DE FREITAS SALA 02;5004950;03.879.383/0002-99;EM FUNCIONAMENTO;117;CINESERCLA TEIXEIRA DE FREITAS;28475;www.cinesercla.com.br;AVENIDA SÃO PAULO;2575;LJ 1024-CINEMA;VILA VERDE;TEIXEIRA DE FREITAS;2931350;BA;NÃO;COMERCIAL;ADICINE ADMINISTRADORA DE CINEMAS EIRELI-EPP;13977;03.879.383/0001-08;REGULAR;ADICINE
CINESERCLA TEIXEIRA DE FREITAS SALA 03;5004951;03.879.383/0002-99;EM FUNCIONAMENTO;215;CINESERCLA TEIXEIRA DE FREITAS;28475;www.cinesercla.com.br;AVENIDA SÃO PAULO;2575;LJ 1024-CINEMA;VILA VERDE;TEIXEIRA DE FREITAS;2931350;BA;NÃO;COMERCIAL;ADICINE ADMINISTRADORA DE CINEMAS EIRELI-EPP;13977;03.879.383/0001-08;REGULAR;ADICINE
CINESERCLA TEIXEIRA DE FREITAS SALA 04;5004952;03.879.383/0002-99;FECHADO TEMPORARIAMENTE;193;CINESERCLA TEIXEIRA DE FREITAS;28475;www.cinesercla.com.br;AVENIDA SÃO PAULO;2575;LJ 1024-CINEMA;VILA VERDE;TEIXEIRA DE FREITAS;2931350;BA;NÃO;COMERCIAL;ADICINE ADMINISTRADORA DE CINEMAS EIRELI-EPP;13977;03.879.383/0001-08;REGULAR;ADICINE
SALA JULIA 01;5004709;02.542.332/0001-23;FECHADO TEMPORARIAMENTE;119;POLY VIDEO CINEMA E LOCADORA;27207;;VINICIUS DE MORAES;27;;PINHEIROS;OTACÍLIO COSTA;4211751;SC;NÃO;COMERCIAL;ADRIANA MOSER ME;27205;02.542.332/0001-23;REGULAR;NAO PERTENCE A NENHUM GRUPO EXIBIDOR
CINE RITZ ITAÚNA SALA 01;5005909;01.847.282/0001-20;FECHADO TEMPORARIAMENTE;224;CINE RITZ ITAÚNA;38005;www.afacinemas.com.br;AVENIDA JOVE SOARES;1049;CINEMA;GRAÇAS;ITAÚNA;3133808;MG;NÃO;COMERCIAL;AFA CINEMATOGRÁFICA LTDA ME;12264;01.847.282/0001-20;REGULAR;AFA
CINE RITZ ITAÚNA SALA 02;5005910;01.847.282/0001-20;FECHADO TEMPORARIAMENTE;148;CINE RITZ ITAÚNA;38005;www.afacinemas.com.br;AVENIDA JOVE SOARES;1049;CINEMA;GRAÇAS;ITAÚNA;3133808;MG;NÃO;COMERCIAL;AFA CINEMATOGRÁFICA LTDA ME;12264;01.847.282/0001-20;REGULAR;AFA
CINE RITZ ITAÚNA SALA 03;5005911;01.847.282/0001-20;FECHADO TEMPORARIAMENTE;166;CINE RITZ ITAÚNA;38005;www.afacinemas.com.br;AVENIDA JOVE SOARES;1049;CINEMA;GRAÇAS;ITAÚNA;3133808;MG;NÃO;COMERCIAL;AFA CINEMATOGRÁFICA LTDA ME;12264;01.847.282/0001-20;REGULAR;AFA
CINE BIJOU;5006535;35.739.380/0001-65;FECHADO TEMPORARIAMENTE;84;CINE BIJOU;45293;www.satyros.com.br;Praça Franklin Roosevelt;172;;Consolação;SÃO PAULO;3550308;SP;NÃO;COMERCIAL;ALEGRIA EXIBIDORA CINEMATOGRAFICA - EIRELI;45292;35.739.380/0001-65;REGULAR;NAO PERTENCE A NENHUM GRUPO EXIBIDOR
CINE ALIANÇA;5006330;15.210.046/0001-02;FECHADO TEMPORARIAMENTE;137;CINE ALIANÇA;43520;;Praça Dr. Augusto Glória;327;SALA 212;CENTRO;SÃO JOÃO NEPOMUCENO;3162906;MG;NÃO;COMERCIAL;ALIANÇA PARTICIPACÕES E EMPREENDIMENTOS LTDA;43519;15.210.046/0001-02;REGULAR;NAO PERTENCE A NENHUM GRUPO EXIBIDOR
CINE JALES;5003328;09.105.455/0001-46;FECHADO TEMPORARIAMENTE;134;CINE JALES;19919;;AV. FRANCISCO JALES;2991;FRENTE;CENTRO;JALES;3524808;SP;NÃO;COMERCIAL;ALISSON MANOEL ARENA MAIA & CIA LTDA-ME;19918;09.105.455/0001-46;REGULAR;NAO PERTENCE A NENHUM GRUPO EXIBIDOR
CINEMANIA;5006016;29.229.421/0001-70;FECHADO TEMPORARIAMENTE;224;CINEMANIA;39424;;Rua Campinas;951;;Vila Fontana;COSMÓPOLIS;3512803;SP;NÃO;COMERCIAL;ALMEIDA E NASR CINEMATOGRAFICA LTDA ME;39423;29.229.421/0001-70;REGULAR;NAO PERTENCE A NENHUM GRUPO EXIBIDOR
CINE LASER ROLIM DE MOURA 1;5006540;17.821.400/0004-03;FECHADO TEMPORARIAMENTE;140;CINE LASER ROLIM DE MOURA;45453;;AV RECIFE ;5502;IG SHOPPING;CENTRO;ROLIM DE MOURA;1100288;RO;NÃO;COMERCIAL;AMAZON SERVICOS DE DIVERSOES LTDA;45452;17.821.400/0001-60;REGULAR;NAO PERTENCE A NENHUM GRUPO EXIBIDOR
CINE LASER ROLIM DE MOURA 2;5006541;17.821.400/0004-03;FECHADO TEMPORARIAMENTE;152;CINE LASER ROLIM DE MOURA;45453;;AV RECIFE ;5502;IG SHOPPING;CENTRO;ROLIM DE MOURA;1100288;RO;NÃO;COMERCIAL;AMAZON SERVICOS DE DIVERSOES LTDA;45452;17.821.400/0001-60;REGULAR;NAO PERTENCE A NENHUM GRUPO EXIBIDOR
CINE TEATRO PEGASUS;5001902;05.082.681/0001-06;EM FUNCIONAMENTO;417;ANAS CINEMAS LTDA - ME;6426;;RUA JOSE PELOSINI Nº 40;;2º ANDAR;CENTRO;SÃO BERNARDO DO CAMPO;3548708;SP;NÃO;NÃO COMERCIAL;ANAS CINEMAS LTDA. ME;6425;05.082.681/0001-06;IRREGULAR;NAO PERTENCE A NENHUM GRUPO EXIBIDOR
CINE LUX;5003441;11.304.189/0001-22;EM FUNCIONAMENTO;131;CINE LUX;20868;www.cineluxslg.com;RUA SÃO JOÃO;1734;;CENTRO;SÃO LUIZ GONZAGA;4318903;RS;NÃO;COMERCIAL;ANDRADE E PANZENHAGEN LTDA;20867;11.304.189/0001-22;REGULAR;NAO PERTENCE A NENHUM GRUPO EXIBIDOR
CINE AVENIDA;5001117;43.709.138/0001-77;EM FUNCIONAMENTO;260;AQUARIUS CINEMATOGRAFICA LTDA;6732;NÃO TEM!;AV SÃO JOÃO Nº 335/341;;;CENTRO;SÃO PAULO;3550308;SP;NÃO;NÃO COMERCIAL;AQUARIUS CINEMATOGRÁFICA LTDA;2979;43.709.138/0001-77;IRREGULAR;NAO PERTENCE A NENHUM GRUPO EXIBIDOR
CINE LAS VEGAS;5001118;43.709.138/0001-77;EM FUNCIONAMENTO;285;AQUARIUS CINEMATOGRAFICA LTDA;6732;NÃO TEM!;AV SÃO JOÃO Nº 335/341;;;CENTRO;SÃO PAULO;3550308;SP;NÃO;NÃO COMERCIAL;AQUARIUS CINEMATOGRÁFICA LTDA;2979;43.709.138/0001-77;IRREGULAR;NAO PERTENCE A NENHUM GRUPO EXIBIDOR
