REGISTRO_ANCINE;RAZAO_SOCIAL;CNPJ
10;CONSPIRAÇÃO FILMES S/A;02020661000104
100;RADAR CINEMA E TELEVISÃO LTDA;02947857000149
1002;LAUPER FILMS LTDA ME;60636537000174
1004;M M SALLES PRODUÇÕES LTDA;03222082000107
1005;DANIEL SOLÁ SANTIAGO PRODUÇÕES LTDA. ME;00623018000140
1009;CHÁ CINEMATOGRÁFICO LTDA.;04462804000163
1010;JOSÉ RONALDO LOPES DUQUE;01447724000140
1012;FILMEGRAPH LTDA - ME;23148018000130
1013;BIZUM COMUNICAÇÃO LTDA;03279751000187
1018;27 PRODUÇÕES LTDA;05370290000189
1019;SETCOM - SET DE COMUNICAÇÃO LTDA;04736316000105
1021;CITIZENCRANE - PRODUCOES CINEMATOGRAFICAS LTDA - ME;03675713000143
1025;HANGAR FILMES - PRODUÇÕES ARTÍSTICAS LTDA;86774361000100
1026;VMV PRODUTORA LTDA;02916218000116
1027;IDÉIAS IDEAIS DESIGN & PRODUÇÕES LTDA;01475173000129
103;OCEAN PRODUÇÃO DE FILMES LTDA;04069379000147
1031;NOMADE AMBERG FILMES LTDA;01533833000180
1034;AMADO ARTE & PRODUÇÃO LTDA;02229260000169
1036;REPÚBLICA PUREZA FILMES LTDA.;01369211000169
1037;OLYMPUS FILME LTDA.;44486728000140
1038;ELA FILMES LTDA - ME;05429866000136
1039;CINECLUBE PELA MADRUGADA S/C LTDA;03810491000124
1043;AQUARELA PRODUÇÕES CULTURAIS LTDA;02593994000122
1044;E C COSTA PRODUCOES ARTISTICAS LTDA;04357186000191
1048;TEATRO ILUSTRE PRODUÇÕES ARTÍSTICAS LTDA;04474294000144
1049;T.A.O. PRODUÇÕES ARTISTICAS LTDA. -ME;05462807000160
1052;GLAZ VIDEO PRODUÇÕES AUDIOVISUAIS LTDA;04729029000160
1053;SANDRA WERNECK T. DE SOUZA PRODUÇOES CINEMATOGRAFICAS EIRELI.;40447906000173
1058;ALBATROZ CINEMATOGRÁFICA LTDA;01111024000180
1060;CINEFILMES LTDA;30713390000108
1061;UNS E OUTROS PRODUÇÕES E FILMES EIRELI;04595226000133
1063;MASSANGANA PRODUÇÕES ARTÍSTICAS LTDA;72047608000182
1069;HY BRAZIL 2001 FILMES E LIVROS LTDA;05262633000191
1070;CAMARADA FILMES LTDA - ME.;79052494000108
1077;SET PRODUÇÕES E EVENTOS LTDA - EPP;02924831000185
1078;EXEMPLUS COMUNICAÇÃO E MARKETING LTDA;72638372000159
1079;OSWALDO CALDEIRA PRODUCOES CINEMATOGRFICAS LTDA;35789569000162
1082;NEANDERTHAL MB CINEMA S/C LTDA.;04971555000131
1085;MAJOLA SERVIÇOS EM FILMES E FOTOS LTDA;89773303000150
1086;ANDREA MAGALHÃES GLORIA EIRELI - ME;26480434000120
1087;HECO PRODUÇÕES LTDA;00205194000161
1088;PEDRO SUTTER OZORIO ROSA;03086324000182
1092;L.M.BRASIL PRODUÇÕES LTDA.;04476770000166
1093;OMNIMÍDIA PRODUÇÕES CINEMATOGRÁFICAS E INFORMÁTICA LTDA;00984133000140
1094;PÁGINA 21 COMUNICAÇÃO LTDA;03450528000150
1096;MAMO FILMES LTDA;57643793000184
110;RECCORTE PRODUÇÕES DE VÍDEOS E FILMES EIRELI;01630732000128
1101;FURTADO E LOBÃO FILMES LTDA.;04368079000169
1102;KANAL CINE, VÍDEO E PROPAGANDA LTDA;04551946000105
1103;SPECTRA MIDIA PRODUÇÕES LTDA;03380530000109
1112;DARON CINE VIDEO EIRELI;31150030000108
1114;DN PLUS PRODUTORA DE VÍDEO TAPE LTDA.;02960270000170
1119;REGINA FILMES LTDA;42164699000175
1126;BANG BANG FILMES PRODUÇÕES EIRELI;01230968000177
1133;MERCADO CULTURAL LTDA EPP;03093490000106
1139;CYCLOPEA PRODUÇÕES E EVENTOS LTDA;03576269000109
1141;CORAÇÃO DA SELVA TRANSMÍDIA S.A.;05508188000105
1145;OTTO DESENHOS ANIMADOS LTDA;87435368000160
1153;MP AGENCIA DE FOTOGRAFIA E PRODUCOES ARTISTICAS LTDA. - EPP;02922351000185
1157;DIRETORIA CINEMATOGRÁFICA LTDA;05463426000103
1162;JUPITER PRODUTORA DE FILMES EIRELI;04581133000150
1166;CLEAR LIGHT COMUNICAÇÃO LTDA;03609296000130
1168;INTERACTION CINE TV AUDIOVISUAL LTDA;73652299000132
11725;MEMORY PRODUÇÕES IMAGEM E SOM LTDA;03048565000137
11726;NEOPLASTIQUE ENTRETENIMENTO LTDA;08296780000170
11728;88 ARTE CONTEMPORANEA LTDA;08287614000108
11740;TIAGO FRANCISCO SCHENK IMAGENS - ME;08449178000126
11753;CENTRAL DE PRODUÇÕES GWUP S/A;01959772000118
11767;VERMELHO FILMES PRODUÇÕES LTDA;06866682000104
11768;DELICATESSEN - PRODUÇÃO DE FILMES LTDA.;08440376000129
11779;CUMBARU PRODUÇÕES ARTÍSTICAS LTDA - ME;07168260000110
11782;KINOOSFERA FILMES E PRODUÇÕES ARTÍSTICAS LTDA.;08465974000152
11783;VILLA FILMES PRODUÇÕES ARTÍSTICAS LTDA;01884611000102
11787;TERRADORADA PRODUÇÃO DE CONTEÚDO JORNALÍSTICO LTDA;08346456000110
11790;BEAUCASTEL PRODUÇOES ARTISTICAS LTDA;08542085000141
11791;ESTAÇÃO MÍDIA ET IMAGEM LTDA;05270469000164
