CPB;TITULO_ORIGINAL;DIRETOR;PAIS_DIRETOR
B0200000400000;SEJA O QUE DEUS QUISER;MURILO NAVARRO DE SALLES;BRASIL
B0200000600000;ROCINHA BRASIL77;SERGIO PÉO;Não Informado
B0200000700000;ROCINHA 76/96;SERGIO PÉO;Não Informado
B0200000800000;NANDERU - PANORÂMICA TUPINAMBÁ;SERGIO CASEMIRO JUCA DOS SANTOS;BRASIL
B0200000900000;ABC BRASIL;SERGIO CASEMIRO JUCA DOS SANTOS;BRASIL
B0200001000000;DURVAL DISCOS;ANA LUIZA MACHADO DA SILVA MUYLAERT;BRASIL
B0200001200000;RUA SEIS SEM NUMERO;JOAO BATISTA MORAES DE ANDRADE;BRASIL
B0200001300000;DESMUNDO;ALAIN FRESNOT;BRASIL
B0300001600000;DEUS É BRASILEIRO;CARLOS JOSE FONTES DIEGUES;BRASIL
B0300001800000;LOST ZWEIG;SYLVIO CARLOS BACK;BRASIL
B0300002100000;VEJA ESTA CANÇÃO;CARLOS JOSE FONTES DIEGUES;BRASIL
B0300002200000;MARGEM DA IMAGEM, Á;EVALDO SERGIO VINAGRE MOCARZEL;BRASIL
B0300002400000;BANDA DE IPANEMA-FOLIA DE ALBINO;PAULO CEZAR SARACENI;BRASIL
B0300002500000;ZICO - O FILME;ELIZEU ANTONIO EWALD REZENDE;BRASIL
B0300002600000;DONA CRISTINA PERDEU A MEMÓRIA;ANA LUIZA NUNES AZEVEDO;BRASIL
B0300002700000;HOMEM QUE COPIAVA, O;JORGE ALBERTO FURTADO;BRASIL
B0300002800000;CIDADE DE DEUS;FERNANDO FERREIRA MEIRELLES;BRASIL
B0300002800000;CIDADE DE DEUS;SUSAN KATE LUND;BRASIL
B0300002900000;HOMEM DO ANO, O;JOSE HENRIQUE KOMEL FONSECA;BRASIL
B0300003000000;CAMA DE GATO;ALEXANDRE STOCKLER DAS NEVES;BRASIL
B0300003100000;PREÇO DA PAZ, O;PAULO DE TARSO DE CARVALHO MORELLI;BRASIL
B0300003200000;MACUNAÍMA;JOAQUIM PEDRO DE ANDRADE;BRASIL
B0300003400000;QUERIDO ESTRANHO;RICARDO DOMINGOS PINTO E SILVA;BRASIL
B0300003600000;EX INFERIS;PAULO EDUARDO EUSTACHIO DE MIRANDA;BRASIL
B0300003800000;BOM CONSELHO;MARCIO LUIS MOTOKANE;BRASIL
B0300003899999;BOM CONSELHO;LUCIA ARAUJO;Não Informado
B0300004100000;CRISTINA QUER CASAR;LUIZ FERNANDO VILLACA;BRASIL
B0300004200000;PLANO - SEQUÊNCIA;PATRICIA MORAN FERNANDES;BRASIL
B0300004300000;CARANDIRU. DOC;MARIA RITA DE CASSIA BUZZAR;Não Informado
B0300004400000;ZAGATI;EDU FELISTOQUE E NEREU CERDEIRA;Não Informado
B0300004500000;LOBISOMEM E O CORONEL, O;ELVIS KLEBER DE ARRUDA FIGUEIREDO;BRASIL
B0300004500000;LOBISOMEM E O CORONEL, O;ITALO CAJUEIRO DE OLIVEIRA;BRASIL
B0300004700000;XANGÔ DE BAKER STREET, O;MIGUEL DE FARIA JUNIOR;BRASIL
B0300005400000;ILHA DOS PAQUERAS, A;FAUZI ABDALLA MANSUR;BRASIL
B0300005700000;FAMÍLIA S/A;LÚCIA ARAÚJO;Não Informado
B0300005800000;NARRADORES DE JAVÉ;ELIANE DIAS CAFFE ALVES;Não Informado
B0300005900000;ROCHA QUE VOA;ERYK ARUAC GAITAN ROCHA;BRASIL
B0300006100000;TRIBUTO A NELSON GONÇALVES;ELIZEU ANTONIO EWALD REZENDE;BRASIL
B0300006200000;CARANDIRU;HECTOR EDUARDO BABENCO;BRASIL
B0300007100000;VIVA VOZ;PAULO DE TARSO DE CARVALHO MORELLI;BRASIL
B0300007300000;PISA - O QUE É ISTO?;LÚCIA ARAÚJO;Não Informado
B0300007900000;CAMINHO DAS NUVENS, O;VICENTE LUIZ NAZARETH AMORIM;BRASIL
B0300008200000;CELESTE & ESTRELA;BETSE PALMEIRA DE PAULA;BRASIL
B0300008300000;APOLÔNIO BRASIL, CAMPEÃO DA ALEGRIA;HUGO CARVANA DE HOLLANDA;BRASIL
B0300008700000;UM DOENTE, SUA IRMÃ E O GRANDE CAMPEONATO DE CUSPE À DISTÂNCIA E OUTRAS HISTORIAS;MAURICIO ARAUJO DE SOUSA;BRASIL
B0300008800000;MADAME SATÃ;KARIM AINOUZ;BRASIL
B0300008900000;NELSON FREIRE;JOAO MOREIRA SALLES;BRASIL
B0300009400000;ILHA RÁ TIM BUM EM O MARTELO DE VULCANO;ELIANA FONSECA;BRASIL
B0300009600000;AVASSALADORAS;MARA MATHILDE CARDOSO MOURAO;BRASIL
B0300009800000;CAPITÃO IMAGINÁRIO, O;EVERSON JOSE FAGANELLO;BRASIL
B0300009900000;GLOBO CIÊNCIA 2003;LUCIA MARIA ARAÚJO;Não Informado
B0300010000000;AMARELO MANGA;CLAUDIO DE ASSIS FERREIRA;BRASIL
B0300010100000;GLOBO ECOLOGIA 2003;LÚCIA MARIA ARAÚJO;Não Informado
B0300010200000;VIVA LEGAL 2003;LÚCIA MARIA ARAÚJO;Não Informado
B0300010400000;MUNDO DA CIÊNCIA;CHRISTIAN MACHADO RIBEIRO;Não Informado
B0300010800000;RAIZES DO BRASIL, UMA CINEBIOGRAFIA DE SERGIO BUARQUE DE HOLANDA;NELSON PEREIRA DOS SANTOS;Não Informado
B0300010900000;NUNCA FOMOS TÃO FELIZES;MURILO NAVARRO DE SALLES;BRASIL
B0300011000000;FACA DE DOIS GUMES;MURILO NAVARRO DE SALLES;BRASIL
B0300011200000;ORIUNDI;RICARDO VILLAS BOAS BRAVO;BRASIL
B0300011400000;ENCONTRO, O;MARCOS JOEL JORGE;BRASIL
B0300011600000;JANELA NATURAL;LÚCIA ARAÚJO;Não Informado
B0300011700000;ÁTIMO;AMALIO ROMEU DISESSA FILHO;Não Informado
